type_id,type_label,total_samples,hard_wrong_count,hard_wrong_rate,top2_miss_count,top2_miss_rate,top2_rescue_count,top2_rescue_rate_among_hard_errors,cross_family_top2_count,cross_family_top2_rate
1,AV-AV,404724,1974,0.004877397930441486,14,3.459147468398217e-05,1960,0.9929078014184397,142336,0.3516865814728062
0,AV-HV,552061,8059,0.014598024493670083,93,0.00016845964485808634,7966,0.9884601067129917,408937,0.7407460407454973
3,HV-AV,543312,3232,0.005948699826250846,99,0.00018221574344023323,3133,0.9693688118811881,23514,0.043278999911652974
2,HV-HV,746842,7554,0.010114589163437514,186,0.0002490486608948077,7368,0.9753772835583797,588414,0.7878694556546096
