group,metric,n,mean,std,p05,p25,median,p75,p95
all,top1_raw,2246939,0.9901689291000366,0.051137737929821014,0.9736894369125366,0.9999096393585205,0.9999985694885254,1.0,1.0
all,top2_raw,2246939,0.009692048653960228,0.05051300302147865,1.5155314662598915e-15,1.508587921250637e-09,1.2845331411881489e-06,8.70863877935335e-05,0.02575615793466568
all,top1_renorm,2246939,0.9902768731117249,0.05069732666015625,0.9742321372032166,0.9999129176139832,0.9999986886978149,1.0,1.0
all,top2_renorm,2246939,0.009723114781081676,0.05069732666015625,1.5155314662598915e-15,1.508587921250637e-09,1.2845341643696884e-06,8.708670065971091e-05,0.025767892599105835
all,true_expert_prob,2246939,0.9856753945350647,0.08380795270204544,0.9722273945808411,0.999909520149231,0.9999985694885254,1.0,1.0
top1_correct,top1_raw,2226120,0.9925141334533691,0.04257402941584587,0.9833266139030457,0.9999198913574219,0.9999986886978149,1.0,1.0
top1_correct,top2_raw,2226120,0.007384846452623606,0.042123038321733475,1.4462924520524832e-15,1.3871411796984034e-09,1.1755448667827295e-06,7.69718608353287e-05,0.016275234520435333
top1_correct,top1_renorm,2226120,0.9925967454910278,0.04224336892366409,0.9837185740470886,0.999923050403595,0.9999988079071045,1.0,1.0
top1_correct,top2_renorm,2226120,0.007403268478810787,0.04224337264895439,1.4462924520524832e-15,1.3871411796984034e-09,1.1755448667827295e-06,7.697199180256575e-05,0.016281403601169586
top1_correct,true_expert_prob,2226120,0.9925141334533691,0.04257402941584587,0.9833266139030457,0.9999198913574219,0.9999986886978149,1.0,1.0
top1_wrong,top1_raw,20819,0.7394022345542908,0.15796959400177002,0.5158470273017883,0.5996283292770386,0.7234328389167786,0.8814353942871094,0.9910444617271423
top1_wrong,top2_raw,20819,0.2563948929309845,0.15564508736133575,0.008712047711014748,0.11570242047309875,0.27199244499206543,0.393880695104599,0.48000600934028625
top1_wrong,top1_renorm,20819,0.7422219514846802,0.15645481646060944,0.5191195011138916,0.6033728122711182,0.7257599234580994,0.8836531639099121,0.9912879467010498
top1_wrong,top2_renorm,20819,0.25777801871299744,0.15645481646060944,0.008712047711014748,0.1163468137383461,0.27424004673957825,0.3966272473335266,0.4808804392814636
top1_wrong,true_expert_prob,20819,0.2544342279434204,0.15662617981433868,0.007581580430269241,0.11143066734075546,0.2693929076194763,0.3933565020561218,0.48000600934028625
top2_hit,top1_raw,2246547,0.9902092218399048,0.05098484456539154,0.9738910794258118,0.9999098777770996,0.9999985694885254,1.0,1.0
top2_hit,top2_raw,2246547,0.009663977660238743,0.05044066533446312,1.5140312650311857e-15,1.50575762969396e-09,1.282349444409192e-06,8.691132825333625e-05,0.025556324049830437
top2_hit,top1_renorm,2246547,0.9903090000152588,0.05059888958930969,0.9744225144386292,0.9999130964279175,0.9999986886978149,1.0,1.0
top2_hit,top2_renorm,2246547,0.009691016748547554,0.050598885864019394,1.5140312650311857e-15,1.50575762969396e-09,1.282349444409192e-06,8.691136463312432e-05,0.025577496737241745
top2_hit,true_expert_prob,2246547,0.9858357906341553,0.0829242616891861,0.9725143909454346,0.9999097585678101,0.9999985694885254,1.0,1.0
top2_miss,top1_raw,392,0.759184718132019,0.19680824875831604,0.4406602680683136,0.5809393525123596,0.8083217144012451,0.9443504810333252,0.998768150806427
top2_miss,top2_raw,392,0.17056310176849365,0.1360788494348526,0.0007737315609119833,0.04233567416667938,0.14780738949775696,0.28635314106941223,0.40673285722732544
top2_miss,top1_renorm,392,0.8063211441040039,0.16084639728069305,0.5273171663284302,0.660607099533081,0.843761682510376,0.9567245841026306,0.9992258548736572
top2_miss,top2_renorm,392,0.1936788409948349,0.16084639728069305,0.0007741338922642171,0.04327545315027237,0.15623831748962402,0.33939287066459656,0.47268280386924744
top2_miss,true_expert_prob,392,0.06643353402614594,0.07921197265386581,4.886401802650653e-05,0.0054816752672195435,0.03264527767896652,0.09353914856910706,0.24358472228050232
