type_id,type_label,total_samples,cross_family_count,cross_family_rate,top1_raw_mean_when_cross,top2_raw_mean_when_cross,top2_raw_median_when_cross,top2_renorm_mean_when_cross,top2_renorm_median_when_cross
1,AV-AV,404724,142336,0.3516865814728062,0.997961163520813,0.00190629786811769,1.1781712601077743e-06,0.0019261742709204555,1.1781717148551252e-06
0,AV-HV,552061,408937,0.7407460407454973,0.9937809109687805,0.0060300277546048164,2.3042277916829335e-06,0.006067173555493355,2.3042282464302843e-06
3,HV-AV,543312,23514,0.043278999911652974,0.954190194606781,0.04440511390566826,0.0005349558196030557,0.04475776106119156,0.0005349586135707796
2,HV-HV,746842,588414,0.7878694556546096,0.99322110414505,0.006664381828159094,1.2031817209212647e-10,0.006692786701023579,1.2031817209212647e-10
all,ALL,2246939,1163201,0.517682500504019,0.9932088255882263,0.00662206532433629,4.323986857457385e-08,0.006659055128693581,4.323986857457385e-08
